10-07 21:36:16: Training starting...
10-07 21:36:16: New best reward 23.0 (-100.0%) at episode 0, saving model...
10-07 21:36:16: New best reward 58.0 (+152.2%) at episode 6, saving model...
10-07 21:36:16: New best reward 64.0 (+10.3%) at episode 58, saving model...
10-07 21:36:16: New best reward 65.0 (+1.6%) at episode 82, saving model...
10-07 21:36:17: New best reward 88.0 (+35.4%) at episode 210, saving model...
10-07 21:36:17: New best reward 116.0 (+31.8%) at episode 371, saving model...
10-07 21:36:17: New best reward 119.0 (+2.6%) at episode 392, saving model...
10-07 21:36:17: New best reward 145.0 (+21.8%) at episode 578, saving model...
10-07 21:36:18: New best reward 177.0 (+22.1%) at episode 886, saving model...
10-07 21:36:18: New best reward 180.0 (+1.7%) at episode 993, saving model...
10-07 21:36:20: New best reward 186.0 (+3.3%) at episode 1535, saving model...
10-07 21:36:25: New best reward 203.0 (+9.1%) at episode 2801, saving model...
10-07 21:36:25: New best reward 224.0 (+10.3%) at episode 2893, saving model...
10-07 21:36:27: New best reward 239.0 (+6.7%) at episode 3159, saving model...
10-07 21:36:27: New best reward 240.0 (+0.4%) at episode 3166, saving model...
10-07 21:36:27: New best reward 288.0 (+20.0%) at episode 3269, saving model...
10-07 21:36:29: New best reward 318.0 (+10.4%) at episode 3553, saving model...
10-07 21:36:30: New best reward 328.0 (+3.1%) at episode 3594, saving model...
10-07 21:36:30: New best reward 437.0 (+33.2%) at episode 3638, saving model...
10-07 21:36:32: New best reward 548.0 (+25.4%) at episode 3930, saving model...
10-07 21:36:43: New best reward 618.0 (+12.8%) at episode 5366, saving model...
10-07 21:36:48: New best reward 801.0 (+29.6%) at episode 5999, saving model...
10-07 21:42:29: New best reward 836.0 (+4.4%) at episode 20811, saving model...
10-07 21:43:58: New best reward 864.0 (+3.3%) at episode 23227, saving model...
10-07 21:46:24: New best reward 875.0 (+1.3%) at episode 26959, saving model...
10-07 21:46:40: New best reward 940.0 (+7.4%) at episode 27332, saving model...
10-07 21:46:47: New best reward 1211.0 (+28.8%) at episode 27488, saving model...
10-07 21:46:50: New best reward 1409.0 (+16.4%) at episode 27540, saving model...
10-07 21:48:39: New best reward 1734.0 (+23.1%) at episode 29985, saving model...
